EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,DOB,PerformanceScore
3445,Reid,Park,16-Jan-21,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,07-12-1985,Exceeds
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,01-05-1996,Exceeds
3447,Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,17-02-1964,Fully Meets
3448,Angela,Molina,01-Oct-19,06-Nov-20,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,12-05-1958,Fully Meets
3449,Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,18-09-1992,Fully Meets
3450,Reilly,Moyer,01-Sep-20,04-Dec-22,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,11-08-1994,Exceeds
3451,Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,15-01-1968,Exceeds
3452,Jaydon,Blackburn,08-Nov-22,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,07-01-1947,Fully Meets
3453,Bridger,Carter,13-Oct-22,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,07-04-1982,Fully Meets
3454,Leon,Beard,11-Sep-22,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,29-01-1970,Needs Improvement
3455,Charity,Miranda,29-Jun-21,05-Jul-22,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,18-01-1999,Exceeds
3456,Axel,Howe,06-Mar-23,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,25-09-1946,Fully Meets
3457,Milton,Wall,25-Sep-20,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,23-08-1947,Needs Improvement
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,12-08-1996,Needs Improvement
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,09-02-1944,Exceeds
3460,Alisa,James,19-Feb-20,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,10-02-1944,Fully Meets
3461,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,29-12-1997,Needs Improvement
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,09-08-1942,Needs Improvement
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,21-06-1951,Fully Meets
3464,James,Duke,03-Dec-18,09-Sep-22,Area Sales Manager,Mark Harris,james.duke@bilearner.com,17-06-1998,Needs Improvement
3465,Willow,Stuart,08-Nov-21,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,07-01-1962,Needs Improvement
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,26-01-1979,Exceeds
3467,Celia,Curtis,06-May-20,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,14-05-1987,Exceeds
3468,Valentin,Reilly,09-Sep-19,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,26-04-1998,Fully Meets
3469,Ryland,Shepherd,29-Jul-20,05-Jan-23,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,21-02-1945,Needs Improvement
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,31-05-1997,Needs Improvement
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,03-01-1967,Fully Meets
3472,Nevaeh,Soto,15-Jan-23,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,12-01-1982,Exceeds
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,01-10-1950,Exceeds
3474,Arely,Patton,09-Mar-20,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,16-12-1965,Fully Meets
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,25-12-1957,Fully Meets
3476,Charlie,Koch,12-Jun-23,06-Jul-23,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,20-06-1945,Needs Improvement
3477,Sonny,Horne,07-Apr-19,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,03-12-1969,Needs Improvement
3478,Thomas,Chandler,17-Sep-18,09-Jan-19,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,10-10-1957,Fully Meets
3479,Sarai,Stone,02-Aug-22,02-Apr-23,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,17-05-1962,Fully Meets
3480,Jerimiah,Harmon,08-Sep-22,16-Oct-22,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,09-08-1946,Fully Meets
3481,Leland,Allen,07-Mar-19,31-May-21,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,11-12-1965,Fully Meets
3482,Cristal,Bolton,29-Oct-19,07-Feb-21,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,11-02-1990,Needs Improvement
3483,Jaslene,Harding,26-Sep-21,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,19-06-1964,Fully Meets
3484,Albert,Gonzalez,29-Aug-18,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,18-07-1995,Fully Meets
3485,Jaiden,Johnson,26-Oct-21,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,22-08-1994,Fully Meets
3486,Brendon,Mcconnell,31-Oct-22,08-Jun-23,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,14-11-1990,Fully Meets
3487,Kimora,Parsons,15-Mar-23,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,01-02-1994,Fully Meets
3488,Willie,Patterson,09-Sep-22,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,12-11-1997,Fully Meets
3489,Devyn,Powers,04-Mar-22,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,02-05-1953,Fully Meets
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,10-07-1991,Fully Meets
3491,Lennon,Buchanan,26-Jan-21,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,02-06-1973,Fully Meets
3492,Vicente,Merritt,26-Nov-19,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,08-01-1993,Fully Meets
3493,Hugo,Clay,15-Jul-19,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,17-04-1984,Fully Meets
3494,Cohen,Raymond,18-Jun-20,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,08-02-1994,Fully Meets
3495,Tia,Ellis,22-Jun-23,22-Jul-23,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,27-01-1993,Fully Meets
3496,Aspen,Bentley,02-Dec-21,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,19-09-1964,Fully Meets
3497,Graham,Rodriguez,08-Dec-21,,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,18-02-1981,Fully Meets
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,17-10-1998,Fully Meets
3499,Maci,Frost,25-Sep-18,20-Dec-21,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,16-01-1971,Fully Meets
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,25-02-2000,Fully Meets
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,19-04-1959,Fully Meets
3502,Eugene,Marks,01-Oct-19,,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,29-06-1976,Fully Meets
3503,Geovanni,Pugh,20-Jan-22,,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,27-07-1951,Fully Meets
3504,Javon,Kelley,10-Oct-21,,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,23-08-1980,Fully Meets
3505,Amaya,Hicks,29-Aug-20,,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,24-07-1943,Fully Meets
3506,Laila,Woodard,27-Aug-19,10-May-23,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,06-07-1988,Fully Meets
3507,Ivan,Huff,25-Feb-21,07-Apr-23,Area Sales Manager,John Miller,ivan.huff@bilearner.com,24-03-1973,Fully Meets
3508,Aidan,Harding,13-Jul-21,,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,26-05-1942,Fully Meets
3509,Cruz,Boyer,14-Apr-21,,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,04-11-1977,Fully Meets
3510,Raven,Koch,10-Feb-20,,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,17-10-1956,Fully Meets
3511,Karli,Barker,17-Aug-21,31-Dec-21,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,18-02-1997,Fully Meets
3512,Tyrone,Sosa,17-Apr-23,22-Jun-23,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,25-10-1996,Fully Meets
3513,Damaris,Cisneros,02-Sep-22,24-May-23,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,13-11-1959,Fully Meets
3514,Alexus,Estes,15-Apr-20,,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,03-01-1958,Fully Meets
3515,Kinsley,Flowers,09-Mar-22,10-Dec-22,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,29-04-1997,Fully Meets
3516,Deborah,Love,07-Apr-22,22-Jan-23,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,25-06-1988,Fully Meets
3517,Milagros,Francis,19-Feb-20,,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,04-01-1942,Fully Meets
3518,Roberto,Michael,10-Apr-21,04-Jul-22,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,24-05-1969,Fully Meets
3519,Elaine,Ewing,19-Dec-21,02-Mar-22,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,28-03-1951,Fully Meets
3520,Caiden,Munoz,13-Dec-20,13-Jan-23,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,01-03-1963,Fully Meets
3521,Jocelyn,Bradford,26-Feb-19,,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,16-04-1949,Fully Meets
3522,Marques,Armstrong,02-Mar-20,,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,12-10-1983,Fully Meets
3523,Rohan,Chapman,25-Jun-21,25-Aug-22,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,19-12-1978,Fully Meets
3524,Emmanuel,Franklin,26-Jul-21,04-May-22,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,11-11-1999,Fully Meets
3525,Clayton,Mccormick,03-Jul-22,10-Jan-23,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,29-01-1967,Fully Meets
3526,Darius,Krause,15-Sep-22,,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,30-05-1948,Fully Meets
3527,Ahmed,Hawkins,01-May-20,25-Feb-21,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,15-10-1974,Fully Meets
3528,Kymani,Benjamin,13-Oct-22,,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,13-12-1991,Fully Meets
3529,Callum,Mcdaniel,03-Jan-20,24-Aug-20,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,18-06-1994,Fully Meets
3530,Zariah,Black,13-Nov-19,,Area Sales Manager,Jenna Weaver,zariah.black@bilearner.com,16-06-1993,Fully Meets
3531,Ronnie,Mayer,17-Jun-23,,Area Sales Manager,Dylan Blake,ronnie.mayer@bilearner.com,18-05-1943,Fully Meets
3532,Marlon,Ford,14-Oct-21,,Area Sales Manager,Monique Anderson,marlon.ford@bilearner.com,27-11-1966,Fully Meets
3533,Slade,Griffith,01-Jun-21,16-Jul-23,Area Sales Manager,Kelsey Gibson,slade.griffith@bilearner.com,12-11-1966,Fully Meets
3534,Lee,Frye,14-Sep-18,,Area Sales Manager,Sonia Diaz,lee.frye@bilearner.com,16-08-1959,Fully Meets
3535,Veronica,Rowe,11-Dec-18,02-Jun-22,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,02-02-1994,Fully Meets
3536,Aylin,Berg,06-Aug-22,,Area Sales Manager,Thomas Holmes,aylin.berg@bilearner.com,02-01-1989,Fully Meets
3537,Neveah,Rowe,28-May-22,24-Feb-23,Area Sales Manager,Dawn Perez,neveah.rowe@bilearner.com,11-07-1954,Fully Meets
3538,Keith,Baxter,16-Jun-19,05-Mar-22,Area Sales Manager,Diane Parker,keith.baxter@bilearner.com,29-08-1959,Fully Meets
3539,Chaz,Bruce,08-Dec-19,,Area Sales Manager,John Johnson,chaz.bruce@bilearner.com,27-11-1983,Fully Meets
3540,Maya,Mccann,12-Mar-20,09-Oct-22,Area Sales Manager,Dakota Robinson,maya.mccann@bilearner.com,09-06-1983,Exceeds
3541,Aaron,Weber,06-Apr-20,24-Jul-23,Area Sales Manager,Melanie Garcia,aaron.weber@bilearner.com,27-10-1991,Exceeds
3542,Ellie,Gill,15-Apr-23,,Area Sales Manager,Amanda Knight,ellie.gill@bilearner.com,01-03-1948,Needs Improvement
3543,Rayne,Kerr,10-Nov-20,,Area Sales Manager,Kimberly Cardenas,rayne.kerr@bilearner.com,18-02-1981,Fully Meets
3544,Samara,Mcbride,29-Jun-23,09-Jul-23,Area Sales Manager,Laura Salinas,samara.mcbride@bilearner.com,16-09-2000,Fully Meets
3545,Ryann,Rubio,07-Mar-22,,Area Sales Manager,Andres Jones,ryann.rubio@bilearner.com,28-01-1943,Fully Meets
3546,Paris,Carr,31-Jul-21,27-Jan-23,Area Sales Manager,Jeffrey Huffman,paris.carr@bilearner.com,14-07-1980,Exceeds
3547,Adriel,Wiggins,20-Jan-22,,Area Sales Manager,Sara Edwards,adriel.wiggins@bilearner.com,25-03-1947,Needs Improvement
3548,Sanaa,Glass,11-Jul-21,10-Oct-22,Area Sales Manager,Stephen Garcia,sanaa.glass@bilearner.com,25-01-1964,Fully Meets
3549,Ryan,Lynch,15-Oct-18,18-Oct-20,Area Sales Manager,Tracy Castro MD,ryan.lynch@bilearner.com,17-03-1955,Fully Meets
3550,Charlie,Atkinson,26-Nov-21,14-Oct-22,Area Sales Manager,Jennifer Hicks,charlie.atkinson@bilearner.com,26-03-1988,Fully Meets
3551,Emery,Roach,11-Aug-18,,Area Sales Manager,Victoria Bailey,emery.roach@bilearner.com,04-07-1954,Needs Improvement
3552,Harper,Ramos,16-Feb-20,03-Jun-20,Area Sales Manager,Maria Chan,harper.ramos@bilearner.com,11-08-1942,Needs Improvement
3553,Khalil,Mendez,20-Jan-20,,Area Sales Manager,Regina Martinez,khalil.mendez@bilearner.com,07-05-1949,Fully Meets
3554,Lizeth,Holland,31-Mar-19,,Area Sales Manager,Tonya Martin,lizeth.holland@bilearner.com,14-10-1958,Fully Meets
3555,Matilda,Randall,06-Jan-23,07-May-23,Area Sales Manager,Daniel Wolf,matilda.randall@bilearner.com,11-01-1988,Fully Meets
3556,Damien,Howe,18-Jul-19,15-Jan-20,Area Sales Manager,Sarah Petersen,damien.howe@bilearner.com,16-06-1961,Exceeds
3557,Nicholas,Obrien,13-Feb-19,,Area Sales Manager,Victoria Christian DDS,nicholas.obrien@bilearner.com,06-06-1960,Fully Meets
3558,Mildred,Gentry,30-Dec-18,,Production Technician I,Erin Moore,mildred.gentry@bilearner.com,04-06-1959,Fully Meets
3559,Wilson K,Adinolfi,06-Nov-19,06-Sep-20,Production Technician I,Andrea Gutierrez,wilson k.adinolfi@bilearner.com,18-11-1991,Fully Meets
3560,Joanne,Handschiegl,01-Jun-22,,Production Technician I,Wanda Ross DDS,joanne.handschiegl@bilearner.com,18-02-1954,Exceeds
3561,Dianna,Blount,28-Mar-23,,Production Technician II,Steven King,dianna.blount@bilearner.com,31-01-1959,Fully Meets
3562,Jean,Crimmings,21-May-19,05-Jan-23,Production Technician I,Stephen Rodriguez,jean.crimmings@bilearner.com,09-04-1954,Exceeds
3563,Nore,Sadki,01-Jan-19,,Production Technician I,Patricia Carter,nore.sadki@bilearner.com,15-10-1946,PIP
3564,Susan,Lundy,26-Jan-19,02-Dec-20,Production Technician II,Diana Johnson,susan.lundy@bilearner.com,07-11-1994,Fully Meets
3565,Kramer,Keatts,11-Sep-21,,Production Technician I,Diana Good,kramer.keatts@bilearner.com,10-05-1968,Fully Meets
3566,Maliki,Moumanil,26-Sep-21,,Production Technician II,Desiree Stephens,maliki.moumanil@bilearner.com,05-10-1963,Fully Meets
3567,Nader,Barton,04-Mar-23,,Production Technician I,Debra Garcia,nader.barton@bilearner.com,02-09-1966,Fully Meets
3568,Quinn,Rarrick,11-Jul-23,29-Jul-23,Production Technician I,Susan Brown,quinn.rarrick@bilearner.com,08-12-1974,Fully Meets
3569,Beatrice,Chace,09-Feb-19,28-Aug-20,Production Technician I,Margaret Hampton,beatrice.chace@bilearner.com,19-07-1995,Fully Meets
3570,Adrienne J,Homberger,19-Apr-19,26-Oct-21,Production Technician II,Brandon Miller,adrienne j.homberger@bilearner.com,23-11-1974,Fully Meets
3571,Marilyn,Linares,07-Jul-22,17-Jul-23,Production Technician I,Dr. Matthew Schmitt,marilyn.linares@bilearner.com,29-08-1947,Fully Meets
3572,Timothy,Sullivan,12-Mar-19,19-May-20,Production Technician I,Shawn Berry,timothy.sullivan@bilearner.com,07-06-1994,Fully Meets
3573,Jennifer,Medeiros,09-Mar-20,17-Oct-21,Production Technician I,Brittany Martin,jennifer.medeiros@bilearner.com,26-10-1983,Exceeds
3574,Anna,Von Massenbach,18-May-21,04-Jan-22,Production Technician I,Timothy Weaver,anna.von massenbach@bilearner.com,06-05-1951,Fully Meets
3575,George,Johnson,28-Apr-21,18-Jan-22,Production Technician I,Amanda Smith,george.johnson@bilearner.com,05-03-1987,Exceeds
3576,Angela,Erilus,21-Jul-21,26-Apr-23,Production Technician II,Marc Cummings,angela.erilus@bilearner.com,26-04-1992,Exceeds
3577,Miguel,Estremera,15-Sep-19,,Production Technician I,James Rodriguez,miguel.estremera@bilearner.com,30-05-1957,Fully Meets
3578,Clinton,Owad,04-May-19,,Production Technician I,Elizabeth Sullivan MD,clinton.owad@bilearner.com,30-05-1957,Exceeds
3579,Constance,Sloan,20-May-21,,Production Technician II,Sean Marsh,constance.sloan@bilearner.com,15-11-1946,Needs Improvement
3580,Davion,Sanchez,16-Dec-19,,Production Technician I,Kathryn Wilkinson,davion.sanchez@bilearner.com,21-04-1942,Fully Meets
3581,Ross,Strickland,20-Nov-20,01-May-23,Production Technician I,Paul Walker,ross.strickland@bilearner.com,08-03-1943,Fully Meets
3582,Augustus,Drake,19-Aug-20,04-May-22,Production Technician I,Elizabeth Robertson,augustus.drake@bilearner.com,09-08-1968,Fully Meets
3583,Gracelyn,Huynh,28-Apr-21,18-Apr-22,Production Technician I,Tasha Mayer,gracelyn.huynh@bilearner.com,20-11-1958,Needs Improvement
3584,Orlando,Armstrong,14-Aug-20,,Production Technician I,Chris Walker,orlando.armstrong@bilearner.com,07-11-1987,Fully Meets
3585,Edward,Everett,22-Dec-21,,Production Technician I,Traci Floyd,edward.everett@bilearner.com,16-07-1992,Fully Meets
3586,Jaqueline,Terrell,01-Feb-19,10-Feb-19,Production Technician I,Veronica Wiley,jaqueline.terrell@bilearner.com,27-12-2000,Fully Meets
3587,Quinn,Mccullough,10-May-21,17-Dec-21,Production Technician I,Katherine Gay,quinn.mccullough@bilearner.com,25-12-1977,Fully Meets
3588,Selena,Greer,25-Jun-19,15-Aug-19,Production Technician I,Paul Lopez,selena.greer@bilearner.com,08-03-1972,Fully Meets
3589,Giovani,Roy,25-Apr-19,,Production Technician I,Jay Bush,giovani.roy@bilearner.com,02-08-1951,Fully Meets
3590,Dominik,Mullen,25-Feb-21,13-Oct-22,Production Technician I,Jessica Allen,dominik.mullen@bilearner.com,31-05-1995,Fully Meets
3591,Abdullah,Ellison,23-Nov-21,29-May-23,Production Technician I,Dr. William Thompson,abdullah.ellison@bilearner.com,14-11-1998,Needs Improvement
3592,Andre,Guzman,05-Oct-21,18-Jun-22,Production Technician I,Mrs. Audrey Gonzalez DDS,andre.guzman@bilearner.com,23-12-1998,Fully Meets
3593,Brayden,Malone,30-May-20,,Production Technician I,Ashley Bradshaw,brayden.malone@bilearner.com,11-11-1949,Fully Meets
3594,Maribel,Morrison,11-Dec-18,,Production Technician I,Ashley Meyer,maribel.morrison@bilearner.com,14-03-1968,Needs Improvement
3595,Fisher,Stafford,22-Sep-20,14-Sep-22,Production Technician I,Nicole Delgado,fisher.stafford@bilearner.com,02-03-1952,Fully Meets
3596,Kellen,Medina,28-Jul-19,,Production Technician I,John Henry,kellen.medina@bilearner.com,19-07-1982,Needs Improvement
3597,Brenton,Monroe,06-Jun-20,14-Apr-21,Production Technician II,Autumn Decker,brenton.monroe@bilearner.com,31-10-1986,Fully Meets
3598,Derick,Rocha,28-Sep-18,05-Aug-23,Production Technician II,Alex Moore,derick.rocha@bilearner.com,06-10-1950,Needs Improvement
3599,Elaine,Weeks,12-Apr-20,,Production Technician II,Dana Smith,elaine.weeks@bilearner.com,31-03-1950,Fully Meets
3600,Marely,Dixon,01-Nov-22,,Production Technician II,Bobby Serrano,marely.dixon@bilearner.com,07-10-1949,Fully Meets
3601,Keagan,Henson,21-Nov-22,,Production Technician II,Robert Riley,keagan.henson@bilearner.com,22-07-1966,Fully Meets
3602,Helena,Davenport,11-Apr-21,24-May-23,Production Technician II,Crystal Mcneil,helena.davenport@bilearner.com,12-10-1994,Fully Meets
3603,Houston,Aguirre,29-Nov-18,21-Feb-19,Production Technician II,Christine Costa,houston.aguirre@bilearner.com,15-02-1977,Fully Meets
3604,Kane,Owen,16-Jan-19,31-Aug-22,Production Technician II,Mark Hale,kane.owen@bilearner.com,09-03-1948,Needs Improvement
3605,Emerson,Pitts,18-Sep-19,,Production Technician I,Destiny Johnson,emerson.pitts@bilearner.com,25-08-1943,Fully Meets
3606,Clarissa,Winters,01-Aug-19,20-Jan-23,Production Technician I,Eric Gonzales,clarissa.winters@bilearner.com,13-03-1965,Fully Meets
3607,Frankie,Atkins,18-Jun-19,14-Apr-21,Production Technician I,Christopher Murray,frankie.atkins@bilearner.com,03-08-1976,Fully Meets
3608,Ally,Zhang,13-Feb-19,,Production Technician I,Ashley Williamson,ally.zhang@bilearner.com,06-07-1979,Fully Meets
3609,Kayleigh,Harmon,02-Jun-21,,Production Technician I,Frederick Harrison,kayleigh.harmon@bilearner.com,09-06-1993,Fully Meets
3610,Kayley,Myers,11-Oct-18,,Production Technician I,Brian Arnold,kayley.myers@bilearner.com,07-04-1973,Fully Meets
3611,Rowan,Cobb,09-Mar-21,,Production Technician I,Lori Reed,rowan.cobb@bilearner.com,20-01-1952,Fully Meets
3612,Edward,Mann,23-Jan-22,,Production Technician I,Trevor Rodriguez,edward.mann@bilearner.com,25-12-1984,PIP
3613,Amirah,Johnson,24-Feb-19,,Production Technician I,Jason Owens,amirah.johnson@bilearner.com,14-06-1973,Exceeds
3614,Bridget,Deleon,08-Jan-20,02-Jul-21,Production Technician I,Clifford Martinez,bridget.deleon@bilearner.com,31-08-1973,Fully Meets
3615,Martin,Weber,13-May-21,22-Sep-22,Production Technician I,Lee Hudson,martin.weber@bilearner.com,14-05-1986,Exceeds
3616,Ruben,Lewis,12-Feb-22,,Production Technician I,Allison Tran,ruben.lewis@bilearner.com,24-03-1981,Fully Meets
3617,Bailey,Collier,01-Feb-23,,Production Technician I,Pamela Johnson,bailey.collier@bilearner.com,18-02-1961,Fully Meets
3618,Charlee,Roth,04-Feb-23,,Production Technician I,Erin Harris,charlee.roth@bilearner.com,05-05-1944,Fully Meets
3619,Karissa,Bowers,23-Mar-23,01-May-23,Production Technician I,Robert Wright,karissa.bowers@bilearner.com,17-03-1984,Fully Meets
3620,Noel,Ramirez,22-Mar-23,14-Jul-23,Production Technician I,Mr. Nicholas Austin,noel.ramirez@bilearner.com,12-10-1994,Fully Meets
3621,Victoria,Franco,28-Nov-18,,Production Technician I,Natalie Cannon,victoria.franco@bilearner.com,09-09-1997,Fully Meets
3622,Danika,Fleming,09-Jul-20,10-Jul-21,Production Technician II,Christopher Ayers,danika.fleming@bilearner.com,16-10-1995,Fully Meets
3623,Jocelyn,Kline,11-Feb-19,,Production Technician II,Elizabeth Burton,jocelyn.kline@bilearner.com,25-04-1958,Fully Meets
